Season,Episode,Title,IMDB,IMDB2,Ranking
5,4,The Gang Gives Frank an Intervention,tt1504565,,1
10,1,The Gang Beats Boggs,tt3111340,,2
8,10,Reynolds vs. Reynolds: The Cereal Defense,tt2501838,,3
4,2,The Gang Solves the Gas Crisis,tt1290260,,4
12,6,Hero or Hate Crime?,tt4464006,,5
6,3,The Gang Buys a Boat,tt1636176,,6
13,4,Time's Up for the Gang,tt6362484,,7
4,7,Who Pooped the Bed?,tt1266368,,8
4,13,The Nightman Cometh,tt1319916,,9
1,2,Charlie Wants an Abortion,tt0612820,,10
1,1,The Gang Gets Racist,tt0612823,,11
2,3,Dennis and Dee Go on Welfare,tt0818015,,12
8,6,Charlie's Mom Has Cancer,tt2317924,,13
1,3,Underage Drinking: A National Concern,tt0612824,,14
1,4,Charlie Has Cancer,tt0612819,,15
1,7,Charlie Got Molested,tt0612818,,16
2,4,Mac Bangs Dennis' Mom,tt0793926,,17
3,1,The Gang Finds a Dumpster Baby,tt0792192,,18
1,5,Gun Fever,tt0612822,,19
2,1,Charlie Gets Crippled,tt0786802,,20
2,8,The Gang Runs for Office,tt0833359,,21
12,1,The Gang Turns Black,tt3984178,,22
2,9,Charlie Goes America All Over Everybody's Ass,tt0826387,,23
2,10,Dennis and Dee Get a New Dad,tt0840884,,24
3,3,Dennis and Dee's Mom Is Dead,tt1028238,,25
3,4,The Gang Gets Held Hostage,tt1027449,,26
3,5,The Aluminum Monster vs. Fatty Magoo,tt1113244,,27
3,6,The Gang Solves the North Korea Situation,tt1027450,,28
6,1,Mac Fights Gay Marriage,tt1636170,,29
3,7,The Gang Sells Out,tt1115245,,30
2,6,The Gang Gives Back,tt0829804,,31
3,8,Frank Sets Sweet Dee on Fire,tt1028242,,32
3,9,Sweet Dee's Dating a Retarded Person,tt1124745,,33
3,10,Mac Is a Serial Killer,tt1093876,,34
3,11,Dennis Looks Like a Registered Sex Offender,tt1028239,,35
3,14,Bums: Making a Mess All Over the City,tt1140907,,36
3,15,The Gang Dances Their Asses Off,tt1141458,,37
4,1,Mac and Dennis: Manhunters,tt1265811,,38
4,3,America's Next Top Paddy's Billboard Model Contest,tt1265810,,39
4,4,Mac's Banging the Waitress,tt1265806,,40
7,1,Frank's Pretty Woman,tt2004627,,41
4,9,Dennis Reynolds: An Erotic Life,tt1302093,,42
4,10,Sweet Dee Has a Heart Attack,tt1290725,,43
4,11,The Gang Cracks the Liberty Bell,tt1265812,,44
2,2,The Gang Goes Jihad,tt0818156,,45
4,12,The Gang Gets Extreme: Home Makeover Edition,tt1265813,,46
1,6,The Gang Finds a Dead Guy,tt0612821,,47
5,1,The Gang Exploits the Mortgage Crisis,tt1475886,,48
4,5 / 6,Mac & Charlie Die,tt1265807,tt1265814,49
5,8,Paddy's Pub: Home of the Original Kitten Mittens,tt1531787,,50
3,12 / 13,The Gang Gets Whacked,tt1133002,tt1136349,51
5,2,The Gang Hits the Road,tt1504566,,52
7,11,Thunder Gun Express,tt2107106,,53
7,3,Frank Reynolds' Little Beauties,tt1991555,,54
5,3,The Great Recession,tt1521349,,55
5,5,The Waitress Is Getting Married,tt1522530,,56
6,8,The Gang Gets a New Member,tt1636181,,57
2,5,Hundred Dollar Baby,tt0789481,,58
9,1,The Gang Broke Dee,tt2135416,,59
5,6,The World Series Defense,tt1534185,,60
12,4,Wolf Cola: A Public Relations Nightmare,tt4464000,,61
5,7,The Gang Wrestles for the Troops,tt1537140,,62
5,9,Mac and Dennis Break Up,tt1537557,,63
5,10,The D.E.N.N.I.S. System,tt1537555,,64
5,11,Mac and Charlie Write a Movie,tt1504564,,65
5,12,The Gang Reignites the Rivalry,tt1563067,,66
6,13,A Very Sunny Christmas,tt1478620,,67
6,4,Mac's Big Break,tt1636177,,68
6,5,Mac and Charlie: White Trash,tt1636178,,69
6,9,Dee Reynolds: Shaping America's Youth,tt1636182,,70
6,6,Mac's Mom Burns Her House Down,tt1636179,,71
